id	title	slug	bucket	struggle	result_set	viral_angle	virality_score	evidence
125	Which Faith Crisis Are You Living Through?	which-faith-crisis-are-you-living-through	profile	doubt / faith crisis	The Intellectual Wall | The Suffering Crisis (God let me down) | The Church-Hurt Crisis | The Silence Crisis (He went quiet) | The Burnout Crisis	Pinpoints the shape of your crisis so the next step actually fits what broke	85	TGC "I Never Expected to Doubt", RELEVANT "Seven Christian Thinkers Who Wrestled With Doubt", Christian Standard "Wrestling with Deconstruction and Doubt"; faith-crisis framing widely searched
126	What's Your Doubt Trying to Tell You?	whats-your-doubt-trying-to-tell-you	profile	doubt / is my faith real	An Unanswered Question | A Buried Wound | A Sin You're Hiding From | A Faith You Outgrew | An Invitation to Go Deeper	Reframes doubt as a messenger with a message instead of an enemy to crush	85	Crossway "Is Doubt the Backstory Behind Your Apathy", Coracle "On Good Questions, Doubt & Deconstruction", Boundless "What to Do With Doubt" — doubt-as-signal angle is fresh and shareable
127	Faith or Feelings: What Are You Actually Running On?	faith-or-feelings-what-running-on	profile	dryness / is my faith real	Chasing the Feeling | Faith on Fumes | Steady but Joyless | Numb but Faithful | Feeling-Free Trust	Exposes whether your faith depends on a spiritual high, and what happens when the high is gone	85	Ligonier/GotQuestions "feelings don't save us, Christ does", crossexamined "most doubts are emotional"; "I don't feel God anymore" is core dryness language — relatable, convicting
128	Doubt or Unbelief: Which Are You Wrestling?	doubt-or-unbelief-which-wrestling	profile	doubt / fear of losing faith	Honest Doubt (faith seeking) | Wrestling Faith | Hardening Unbelief | Apathy Creep | Faith Under Construction	Clarifies the scary line between "I'm doubting" and "I've stopped believing" — and which side you're on	85	Os Guinness "suspension between faith and unbelief"; Mark 9 "help my unbelief" is the anchor verse; The 96th Thesis "Three Kinds of Doubt", John Ankerberg "Identifying Doubt" — the distinction is searched and shareable
129	Open Door or Closed Door?	open-door-or-closed-door	profile	discernment	This Door Is From God | This Door Is a Detour | The Door's Still Being Tested | You're Knocking on the Wrong Door	Turns the most-used Christian decision metaphor into a quiz; people LOVE having their 'sign' interpreted	85	Bridges Church 'Are open/closed doors indicators of God's will?', Proverbs 31 'Is It a Closed Door or an Opportunity?', huge open-door search volume
130	Why Do You Feel Purposeless Right Now?	why-do-you-feel-purposeless	profile	feeling purposeless	You've Outgrown an Old Identity | You're Comparing Your Insides to Their Outsides | You're in a Hidden Season | You're Disconnected From Your Why	Goes straight at the raw 'I feel purposeless' search with compassionate, specific causes; high emotional resonance	85	'Many Christians question their true purpose and seek it in ways that lead to confusion and anxiety' (purpose video) + purposeless feelings in quarter-life threads
131	Should You Make the Leap or Keep Waiting?	leap-or-keep-waiting	profile	big decisions	Take the Leap | Wait a Little Longer | Gather More Counsel First | You Already Know the Answer	A high-stakes either/or everyone facing a job/move/relationship decision wants answered; maximum click intent	85	'How to Decide What Job to Take and Who to Marry', leap-of-faith vs wait tension in nearly all big-decision Christian articles
132	What's Stealing Your Sense of Worth?	what-steals-your-worth	profile	identity	Achievement | Approval | Appearance | Other People's Opinions	Pinpoints the idol your worth is hooked to, then redirects it to grace; "stop letting X define you" is endlessly quotable.	85	Cru/finds.life.church identity content warns the world defines you by "looks, achievements, or followers"; Romans 15:7 framing ("you don't need approval/validation from the world") is widely cited.
133	What's Your Inner Critic's Favorite Lie?	inner-critic-favorite-lie	profile	identity	"You're a Failure" | "You're Unlovable" | "You Don't Belong" | "You're Stuck Forever"	Personifies the negative voice and names its go-to line, then silences it with truth; the "my inner critic says ___" hook is share-and-relate gold.	85	Seedword/renew.org list enemy lies almost verbatim ("you're stuck and hopeless", "you aren't lovable"); the inner-critic / shame voice is a defining identity struggle in this corpus.
134	Are You the Older Brother or the Prodigal?	older-brother-or-prodigal	archetype	identity	The Prodigal (came home wrecked) | The Older Brother (stayed but resentful)	A binary self-test from the most famous parable, exposing both the shame path AND the secret-resentment path; debatable, convicting, shareable.	85	Parable of the Prodigal Son (Wikipedia, Diana Leagh Matthews) is one of the best-known second-chance stories; the older-brother resentment angle is a classic, less-discussed self-recognition.
135	What's Your Singleness Season?	whats-your-singleness-season	profile	Feeling stuck, lonely or behind while waiting for a spouse	The Contented Caller | The Aching Waiter | The Gift-Embracer | The Restless Striver	Speaks to the 'content but still struggling' tension every single feels; comforting and very shareable	85	Desiring God 'Single but Not Lonely'; 'gift of singleness' (1 Cor 7); 'you can be content and still struggle'; 'not stuck in a waiting room' language
136	Which Bible Mother Are You?	which-bible-mother-are-you	archetype	Mothers seeking a biblical mirror for their season	Hannah the Prayer Warrior | Jochebed the Brave | Mary the Surrendered | Naomi the Mentor | Eunice the Faith-Passer	Mother's-Day-evergreen archetype; built for sharing among mom groups	85	'10 examples of good mothers in the Bible' (Christianity IQ); 'extraordinary mothers' (Crosswalk); brave-mothers content; high mom-share demand
137	Have You Committed the Unforgivable Sin? (A Gentle Check)	have-you-committed-the-unforgivable-sin-gentle-check	profile	guilt	Your Fear Itself Is Proof You Haven't | Scrupulosity Is Lying to You | You Need Assurance, Not Punishment | Rest in the Finished Work	Directly serves scrupulosity/religious-OCD sufferers who obsessively fear the unpardonable sin - rare, high-empathy, intensely searched, very shareable relief	85	epm.org "only one unforgivable sin... if you desire forgiveness you are not guilty"; scrupulosity OCD + unpardonable-sin fear documented in Christian counseling resources
138	Are You Allowed to Be Angry at God?	are-you-allowed-to-be-angry-at-god	profile	suffering	Yes, Like David Yelled the Psalms | Yes, Like Job in His Ash Heap | You're Complaining TO God (Faith) | You've Slipped to Complaining ABOUT God	Removes the shame around anger at God during grief - liberating, counterintuitive, taps a question people are afraid to ask out loud	85	christianity.com is it wrong to be angry with God, thegospelcoalition.org when does grief become sin, blog.newgrowthpress.com when grief is red instead of gray (complain TO vs ABOUT God)
139	What Does Your Grief Need to Hear?	what-does-your-grief-need-to-hear	profile	grief	He Heals the Brokenhearted (Ps 147:3) | Blessed Are Those Who Mourn (Mt 5:4) | He Keeps Your Tears in a Bottle | Weeping Endures the Night, Joy Comes	Outputs the exact comfort verse your heart needs right now - taps the massive "bible verses for grief" search demand; instantly screenshot-and-share	85	biblestudytools.com bible verses for overcoming grief, christchurchwoodford.org 40 comforting verses, guideposts.org verses for grief (Ps 147:3, Mt 5:4, Rev 21:4)
140	What's Your Self-Control Weak Spot?	whats-your-self-control-weak-spot	profile	self-control, willpower, discipline	Appetite | Tongue/Words | Screen/Scroll | Temper | Lust	Self-control is the hardest fruit of the Spirit; a 'weak spot' diagnostic is convicting yet safe to share because everyone has one.	85	Galatians 5:22-23 self-control studies (Crossway, Truth For Life); 2 Tim 1:7 self-discipline; 1 Cor 10:13 'way out' temptation framing.
141	Could You Pass the Rich Young Ruler Test?	could-you-pass-the-rich-young-ruler-test	profile	greed vs generosity, wealth, surrender	You'd Follow | You'd Hesitate | You'd Walk Away Sad | You're Already Free	Turns Jesus' hardest money challenge into a personal dare; 'could you pass' is a powerful, slightly uncomfortable share hook.	85	Redeeming God 'The Rich Young Ruler and You' (Matt 19:16-24); Mark 10:17-27; TIFWE rich young ruler through Luke & Acts.
142	Which Bible Figure's Grudge Are You Carrying?	which-bible-figures-grudge	archetype	holding a grudge	Jonah (Resentful That Mercy Was Given) | The Older Brother (Bitter at the Father's Grace) | Cain (Festering Jealousy) | Esau (Robbed and Out for Revenge) | Saul (Threatened, Hunting the Innocent)	Holds up a mirror by matching your grudge to a figure who nursed the same one, with a knowing tone and a way out; deeply relatable and tag-a-friend material	85	Jonah angry at Nineveh's mercy, the prodigal's older brother, Cain and Abel, Esau's vow against Jacob, Saul's jealous pursuit of David are the Bible's classic grudge studies
143	What's Your Inner-Healing Next Step?	whats-your-inner-healing-next-step	profile	inner healing	Name the Wound | Grieve and Lament It | Forgive the One Who Caused It | Replace the Lie With Truth | Invite God Into the Memory	A practical recommender that hands you the one move that fits where you are; turns a vague 'I want to heal' into a concrete step	85	Christian inner-healing frameworks: honest lament, inviting God into unexplored memories, forgiveness, and lie-to-truth replacement are the recurring named steps
144	How Do You React When Plans Fall Apart?	how-do-you-react-when-plans-fall-apart	profile	Control-driven people unravel when life goes off-script and want to understand their reaction	The Frantic Fixer | The Shutdown | The Spiraler | The Quiet Controller | The Surrenderer	Taps the control-and-anxiety link (huge therapy topic) with a relatable trigger and a "trust vs control" verse payoff	84	Christian counseling on control issues describes "frantic control" and difficulty when plans change; control rooted in fear is a recurring frame
145	What's Your Path Back from Burnout?	whats-your-path-back-from-burnout	profile	People who know they're burned out don't know how to recover and want a starting point	Radical Rest First | Boundaries and No's | Reconnect with God | Lighten the Load | Ask for Help | Restore Your Body	Turns "how do I recover" into a personalized first-step badge with a hopeful, gospel-rest tone	84	Recovery content stresses recovery "isn't doing more" and centers Sabbath, boundaries, and leaning on Jesus; clear demand for next steps
146	What Should You Do When God Feels Silent?	what-to-do-when-god-feels-silent	profile	God feels silent / dryness	Sit in the Silence (don't fill it) | Return to the Word | Lament Out Loud | Check for a Barrier | Wait With Trust	Moves you from "He's ignoring me" to a concrete practice matched to your season	84	Cru "5 Things to Do When God Seems Silent", Crossway, Abide "Listening to God in the Silence", beneaththefigtree "Listening Prayers" — strongly actionable, high-search
147	Do You Believe God Is Good When He's Silent?	do-you-believe-god-is-good-when-silent	profile	God feels silent / unanswered prayer	Trusting in the Dark | White-Knuckling It | Quietly Angry | Bargaining | Numb to the Question	A heart-level test of what you actually believe about God when the answers stop coming	84	"Faith is learning to trust God in the dark" widely shared; Cru on God's silence, EPM "Keep Trusting God If He Hasn't Answered My Deepest Prayers", Hope for the Broken-Hearted — emotionally charged
148	Which Stage of Returning to God Are You In?	which-stage-of-returning-to-god	profile	coming back to faith / reconstruction	Still Far Off | Coming to Your Senses | The Walk Home | Met by the Father | Rebuilding (the older-brother work)	Maps the prodigal's journey onto YOUR return so you know what to expect next	84	Scriptures In Use & Lifesprings "Prodigal Son's Path to Restoration", everydayFORMATION "Steps to Renew Your Faith", Forward in Christ "come back to faith"; prodigal framing is beloved and shareable
149	Which Waiting Room of the Bible Are You Sitting In?	which-bible-waiting-room	archetype	waiting on God	The Dungeon (Joseph) | The Wilderness (Moses) | The Cave (David) | The Doorway (Ruth) | The Shoreline (the Disciples) | The Empty Womb (Hannah)	A fresh 'waiting room' metaphor instead of literal figures; cozy, visual, and instantly shareable as 'this is so me'	84	Waiting-season sermon ecosystem (Abraham/Joseph/David/Moses) supports the frame; 'Does Waiting on God Feel Lonely?' service video shows the emotional pull
150	Are You Chasing Your Calling or Running From It?	chasing-or-running-from-calling	profile	what am I here for	All-In Chasing | Quietly Avoiding | Jonah-Style Running | Stuck at the Starting Line	A provocative either/or with a Jonah wink; the 'are you running from God' angle is emotionally charged and shareable	84	Calling-discovery content ('signs you've found your calling', 'you can't let it go') plus the Jonah-running-from-purpose trope
151	What Kind of Lost Are You?	what-kind-of-lost-are-you	profile	feeling stuck and purposeless	Spiritually Lost | Directionally Lost | Identity Lost | Just Resting and Not Lost At All	Validates the vague 'I feel lost' state and sorts it into something actionable; gentle, relatable, screenshot-worthy	84	'Feeling Lost in Your 20s and 30s? You're Not Alone' + faith-wobble content; 'lost' is a common self-description in these threads
152	What's Your Belonging Style?	whats-your-belonging-style	profile	belonging	The Outsider Looking In | The Always-Almost-In | The Lone Wolf by Habit | The Quietly Connected	Diagnoses why connection feels hard for you, validating church-loneliness without blame; "belong before you believe" makes it warm and shareable.	84	Crossway "Feeling Alone in a Crowded Congregation" and "Belong. Believe. Behave" describe belonging styles and the outsider experience; "it's hard to trust when you feel like an outsider" is a core theme.
153	Which Lie From the Mirror Do You Believe?	lie-from-the-mirror	profile	identity	"I'm Not Pretty Enough" | "I'm Too Much" | "I'm Forgettable" | "I'll Never Be Enough"	Tackles appearance/body-image insecurity head-on with a tender truth reframe; raw, confessional, and highly shareable among women especially.	84	Comparison sermons cite "filtered beauty standards leading to eating disorders/self-harm"; body-image and "not pretty/good enough" are explicit threads in comparison and identity content.
154	Who Sees You When You Feel Invisible?	who-sees-you-invisible	archetype	loneliness	El Roi, the God Who Sees (Hagar) | Jesus Who Stopped (Bartimaeus) | The Father Watching the Road | The Shepherd Who Searches	Comfort-first quiz for the invisible-feeling; lands on a name/image of God who notices YOU. Deeply emotional, save-and-share devotional energy.	84	Hagar's El Roi "God who sees me", the father "watching the road" for the prodigal, and the searching shepherd recur across belonging/overlooked-character sources as answers to feeling unseen.
155	Why Is Your Love Life Stuck? A Christian Diagnosis	why-is-your-love-life-stuck	profile	Christian dating feels impossible: apps, talking stages, situationships	Fear Is Driving | Standards Need Tuning | You're Hiding | Timing Isn't Yours | Healing Comes First	Diagnoses the exact reason dating keeps stalling; brutally relatable to frustrated singles	84	r/ChristianDating frustration with apps/'talking stage'/situationships; 'why is Christian dating so hard'; Cru/Crosswalk dating-advice demand
156	How Do You Honor a Difficult Parent? A Christian Profile	how-do-you-honor-a-difficult-parent	profile	Guilt over boundaries with toxic, narcissistic or abusive parents	Boundaried Honor | No-Contact Peace | Still-Trapped | Reconciling Slowly	Frees people from the guilt of the 5th commandment vs toxic parents; cathartic and highly shareable	84	GotQuestions 'How do we honor an abusive parent?'; 'boundaries as honor'; no-contact with narcissistic mother; Exodus 20:12 vs abuse
157	What's Your Lament Language?	whats-your-lament-language	profile	grief	The Honest Complaint | The Desperate Appeal | The Stubborn Trust | The Wordless Groan	Frames raw, angry prayer as biblical and holy (40% of Psalms are lament) - gives permission to be honest with God; novel and validating	84	au.thegospelcoalition.org learning to lament, gotquestions.org psalms of lament, ligonier.org how to read psalms of lament (4 movements of lament)
158	Why Does God Feel So Silent Right Now?	why-does-god-feel-so-silent-right-now	profile	suffering	A Dark Night of the Soul | Grief Has Dulled Your Senses | Spiritual Dryness, Not Abandonment | He's Closer Than the Silence Suggests	Names the agonizing felt-absence of God and reframes it as a known spiritual season, not punishment or proof He left - rare, profound, highly shareable	84	soulshepherding.org dark night of the soul, learn.ligonier.org dark night soul, catholic.com dark night not what you think (felt absence, not abandonment)
159	What's Keeping You From Forgiving Them?	whats-keeping-you-from-forgiving-them	profile	forgiveness	The Wound Is Still Bleeding | You Confuse Forgiving With Excusing | You Fear Letting Them Off | You've Forgiven, but Trust Is Gone	Targets the person stuck on forgiving someone who hurt them deeply - clarifies what forgiveness is/isn't; high demand, very relatable	84	hopechurch.com forgive someone who hurt you deeply, theparkwaychurch.com forgiving someone who hurt you, christianwakeupcall.com how to forgive (forgiveness is not excusing/reconciliation)
160	What's Your Relationship With Ambition?	whats-your-relationship-with-ambition	profile	workaholism, career vs calling, envy of success	Holy Ambition | Driven & Restless | Quietly Coasting | Striving For Approval | Surrendered	Ambition is praised and feared in church culture; naming whether yours is holy or hungry hits a nerve for every striver in the pews.	84	Desiring God 'Admonition to Workaholics'; Theology of Work calling vs career; Mockingbird 'Workists in the Hands of a Firing God'.
161	What's Driving Your Spending?	whats-driving-your-spending	profile	financial stress, impulse spending, contentment	Comfort/Retail Therapy | Status & Image | Fear & Hoarding | Generosity | Genuine Stewardship	Names the hidden emotion behind your purchases; 'retail therapy' is a viral concept and the heart-motive reveal feels personal and convicting.	84	Christian Stewardship Network 'Overcoming the Emotional Impulse to Spend'; Crown Ministries impulse spender; retail-therapy psychology of emotional buying.
162	Is Social Media Making You Envious?	is-social-media-making-you-envious	profile	comparison, envy, social media	Immune | Occasionally Stung | Comparison Spiral | Joy Thief	Targets the Instagram-envy phenomenon directly; pairs two viral topics (social media + envy) for maximum demand and shareability.	84	Deseret 'Instagram Effect: psychology of envy'; Stylist 'Instagram-fuelled jealousy'; Luke Finley 'social media and the problem of envy'.
163	Could You Sit at the Table With Someone Who Hurt You?	could-you-sit-at-the-table	profile	forgiving someone who hurt you	Yes, You're Ready | Only With Boundaries | Not Yet, and That's Okay | You Could Forgive but Not Reconcile	Uses the Mephibosheth-at-the-table image to test where you are on reconciliation versus forgiveness; vivid and emotionally resonant	84	Mephibosheth seated at David's table as a redemption image; forgiveness-vs-reconciliation teaching (you can forgive while keeping boundaries) is central to the forgiveness search cluster
164	What's Your Health-Anxiety Pattern?	whats-your-health-anxiety-pattern	profile	People googling every symptom and fearing the worst about their body feel ashamed and alone	The Symptom Googler | The Worst-Diagnosis Jumper | The Body Scanner | The Reassurance Seeker | The Death-Fearer | Mostly At Peace	A surprisingly underserved but deeply felt niche; "this is literally me" recognition for health-anxious believers	83	Dedicated Christian health-anxiety/hypochondria content (Testimonio, Biblical Counseling Coalition, GotQuestions) shows real, distressed demand
165	Which Anxious Bible Prayer Sounds Like You?	which-anxious-bible-prayer-sounds-like-you	archetype	People want their raw, fearful prayers validated by scripture's honest cries	Hannah's Desperate Plea | David's "How Long, O Lord" | Jesus in Gethsemane | Jehoshaphat's "We Don't Know What to Do" | Peter's "Lord, Save Me" | Paul's Thorn Prayer	Validates messy anxious prayer through biblical examples; the "you're allowed to pray scared" message spreads	83	Counseling content highlights anxious biblical prayers (Hannah, David's Psalms, Gethsemane); "we do not know what to do" (2 Chron 20) is a known anxiety verse
166	Which Rest-Stealer Is Robbing Your Peace?	which-rest-stealer-is-robbing-your-peace	profile	People can't rest and want to identify the specific thing stealing their peace	The Phone | Overcommitment | Guilt | Worry About Money | Comparison | Never-Off Work | A Restless Mind	Names the exact peace-thief, which is satisfying and convicting, and ties it to a Sabbath-style remedy	83	Rest/Sabbath teaching consistently lists distraction, overcommitment, and guilt as rest-killers; "be still and know" is the anchor verse
167	Is Your Quiet Time Actually Working?	is-your-quiet-time-actually-working	profile	dry quiet times / prayer life	Box-Checking (going through motions) | Bone Dry (nothing's landing) | Distracted (can't focus) | Performance Reading | Quietly Growing (more than you feel)	Honest audit of the morning devotions that feel like homework, with a fix for your exact rut	83	YMI "Tired of Going Through the Motions", Living a Fruitful Life "Active or on Autopilot", dailybreadcore "Hear God in the Quiet Moments"; dry-quiet-time is a constant pain point
168	How Honest Are You Being With God?	how-honest-are-you-being-with-god	profile	prayer life / God feels silent	The Polite Pray-er | The Avoider | The Stuffed-Down Lament | The Angry-but-Silent | The Brutally Honest (like the Psalms)	Reveals whether you're praying the safe version of your heart while the real stuff stays buried	83	Bill Muehlenberg "Psalm 88 and Being Honest To God", Franciscan Media "Biblical Laments: Prayer Out of Pain", Grace Church "Praying the Psalms" — "be honest with God" lament theme rising in honest-faith content
169	Which Wilderness Season Are You In?	which-wilderness-season	archetype	wilderness season	The Midian Years (Moses) | The 40 Days (Jesus Tested) | The Desert Wandering (Israel) | Elijah's Burnout Cave | Hagar in the Desert	Specific 'wilderness' archetype distinct from the general waiting one; targets people literally Googling 'stuck in a wilderness season'	83	Multiple 'feeling stuck in the wilderness' devotionals + Moses-in-Midian sermons; 'tired of the wilderness' Substack shows live demand
170	Which Anointed-but-Waiting Hero Are You?	which-anointed-but-waiting-hero	archetype	stuck in a waiting season	David (Anointed, Tending Sheep) | Joseph (Dreamer, in Chains) | Esther (Chosen, in Hiding) | Joshua (Next-in-Line, Still Following) | Timothy (Called Young, Underestimated)	Sharper sub-angle of waiting: you KNOW you're called but it hasn't started; speaks to ambitious, frustrated 20-40s	83	David anointed 15 yrs before kingship, Joseph's dreams before the throne, Joshua under Moses; 'called but not yet' is a recurring sermon theme
171	Which Bible Friendship Do You Long For?	bible-friendship-you-long-for	archetype	friendship	David and Jonathan | Ruth and Naomi | Paul and Timothy | Jesus and His Inner Three	Lets the friend-starved pick the bond they crave; aspirational and gift-able to a friend ("you're my Jonathan"). Distinct from a friendship-type sorter.	83	Adult-friendship and church-loneliness corpus repeatedly invokes biblical friendship as the antidote; David/Jonathan, Ruth/Naomi, Paul/Timothy are the canonical Christian friendship models.
172	Are You Living From Approval or Acceptance?	approval-or-acceptance	profile	identity	The Approval Chaser | The People-Pleaser | The Performer | The Already-Accepted	A sharp two-state mirror that exposes the exhausting approval treadmill vs resting in being accepted; "stop performing for love" is deeply quotable.	83	Identity resources stress you already have "the stamp of approval from Him" and never have to "try harder for Him to love you more" (Joyce Meyer, Romans 15:7); approval-vs-acceptance is a core identity tension.
173	How Do You Handle Feeling Left Out?	how-you-handle-feeling-left-out	profile	loneliness	You Withdraw | You Overcompensate | You Numb It | You Pretend You're Fine	Maps your coping move when excluded, validating a universal sting with a healthier path; "feeling left out" is broadly relatable and confessional.	83	Church-loneliness corpus (Crossway "Feeling Alone in a Crowded Congregation", cliques articles) describes feeling left out despite being present; coping responses (withdraw/mask) are common threads.
174	Is Your Marriage Becoming a Roommate Marriage?	is-your-marriage-a-roommate-marriage	profile	Emotional distance and lost intimacy after years together	Deeply Connected | Drifting Quietly | Roommate Zone | Rebuilding	Hits the quiet fear long-married couples won't say aloud; couple-tag and DM-share magnet	83	Cambridge Papers on emotional distance/withered marriage; r/Christianmarriage emotional-distance threads; 'roommate marriage' a common search
175	Which Bible Power Couple Are You?	which-bible-power-couple-are-you	archetype	Couples wanting to know their shared mission identity	Priscilla and Aquila | Aquila's Apprentices | Joseph and Mary | Boaz and Ruth	Lighter, aspirational couple quiz for ministry-minded pairs; couple-tag shareable	83	Priscilla and Aquila 'equal devoted partnership in ministry'; answeredfaith biblical-marriage examples; power-couple framing trends
176	Which Psalm of Lament Is Your Prayer Today?	which-psalm-of-lament-is-your-prayer-today	archetype	grief	Psalm 13 (How Long, O Lord?) | Psalm 22 (Why Have You Forsaken Me?) | Psalm 42 (Why So Downcast?) | Psalm 88 (The Darkness Is My Closest Friend)	Pairs your current ache with a specific dark psalm - distinct from "which psalm speaks to you" by focusing only on lament/suffering; comforting and screenshot-worthy	83	christianity.com 5 psalms of lament, takeitfromkayla.com psalms of lament list (Ps 13,22,42,44,88); net-new vs existing which-psalm-speaks-to-you
177	Has Grief Shaken or Deepened Your Faith?	has-grief-shaken-or-deepened-your-faith	profile	suffering	Faith Hanging by a Thread | Wrestling Honestly Like Jacob | Quietly Trusting in the Dark | Roots Driven Deeper by Loss	Names where loss has left your faith - validates doubters (doubt doesn't disqualify) and honors quiet trusters; high emotional pull	83	testimon.io christian miscarriage grief "you can believe God is good and still be devastated", reviveourhearts.com hanging onto God, desiringgod.org valley of miscarriage (doubt doesn't disqualify)
178	What Lie Is Your Shame Telling You About God?	what-lie-is-your-shame-telling-you-about-god	profile	shame	He's Disappointed in You | He's Keeping Score | He Loves You Only When You Perform | He's Already Run to Meet You	Exposes the distorted God-image shame builds and replaces it with the prodigal's running Father - convicting, freeing, highly shareable	83	thegospelcoalition.org/article/break-shames-chains, ftc.co breaking the power of shame, sermons on identity in Christ vs shame (Father runs to meet you)
179	Are You Grieving a Loss Nobody Acknowledges?	are-you-grieving-a-loss-nobody-acknowledges	profile	grief	Pregnancy or Infant Loss | A Living Loss (Estrangement) | A Dream That Died | Grief You Feel You Can't Voice	Names disenfranchised grief - the losses people grieve in silence - making invisible pain visible; rare angle, intensely shareable for the unseen	83	christianfamilysolutions.org miscarriage and stillbirth grief, christianliferesources.com I will never forget you, annakettle.com theology of miscarriage (lonely/unspoken grief)
180	Do You Need a Digital Detox? (Be Honest)	do-you-need-a-digital-detox	profile	phone addiction, social media, discipline	You're Fine | A Light Fast | A Real Detox | An Emergency Unplug	'Be honest' dares the reader; digital detox is a massive evergreen search and a low-shame, high-share self-diagnosis.	83	Living For The Christ 'Digital Detox Starter Kit'; The Rebelution '3 Reasons Digital Detoxing Drew Me Closer to God'; WORD30 detox challenge.
181	Are You a Workaholic in Disguise?	are-you-a-workaholic-in-disguise	profile	workaholism, career vs calling, identity	Balanced | Subtle Striver | Identity-In-Work | Burned-Out Idolater	'In disguise' assumes the reader might be guilty, which drives clicks; work-as-idol resonates with hustle-culture Christians.	83	Desiring God 'Admonition to Workaholics'; Biblical Counseling Center 'Don't Let Work Become Your World'; Bible.org Psalm 127 'Word for Workaholics'.
182	Which Deadly Sin Is Your Money Tempting You Toward?	which-money-deadly-sin-are-you	archetype	greed, envy, contentment	Greed | Envy | Pride | Gluttony/Excess	Seven-deadly-sins framing is intrinsically clickable; tying it to money/possessions makes it specific and convicting without feeling generic.	83	Catholic Answers 'Sin of Greed' (capital sin); Growing Godly Generations 'Se7en Deadly Sins: Envy & Greed' (Proverbs 24); greed gives rise to other sins.
183	What Would Jesus Say About Your Money?	what-would-jesus-say-about-your-money	profile	greed vs generosity, stewardship, contentment	'Well Done, Steward' | 'Watch Your Heart' | 'You Lack One Thing' | 'Where Is Your Treasure?'	Bold, conviction-forward hook; the 'what would Jesus say' frame is provocative and the results echo real Gospel sayings.	83	Christian Post 'What Jesus said money is really for'; Matt 6:21 treasure; rich young ruler 'you lack one thing'; parable of the talents steward.
184	What's Your Worry Language?	whats-your-worry-language	profile	People express anxiety in distinct ways and a "language" framing feels fun and personal	The Verbal Processor | The Silent Stewer | The List-Maker | The Avoider | The Researcher | The Reassurance-Seeker	A love-languages-style spin on worry that is light, fun, and instantly screenshot-able with a faith next step	82	Worry/anxiety-type self-quizzes (AnxietyCentre Worry Test, anxiety-types quizzes) show demand for categorizing how worry shows up
185	What's Your Sabbath Personality?	whats-your-sabbath-personality	archetype	People want to start a Sabbath but don't know what kind of rest day fits them	The Slow-Morning Sabbath | The Nature Sabbath | The People-Free Sabbath | The Worship-Filled Sabbath | The Creative Sabbath | The Sleep-and-Recover Sabbath	A fun, aspirational "which rest day are you" identity quiz that makes Sabbath feel doable and screenshot-worthy	82	Sabbath-as-antidote-to-burnout is a booming theme; "what is Sabbath rest for the burned out" guides show appetite for practical, personalized rest
186	How Do You Hear God?	how-do-you-hear-god	profile	how do I know God's will	Through Scripture | Through Peace | Through People | Through Circumstances | Through Conviction	Answers the practical ache behind God's-will questions; positive, identity-affirming, broadly shareable	82	'God speaks to those who make space to listen', plus constant 'how do I hear from God / know His will' searches and sermons
187	Which Bible Figure Made a Big Decision Like You?	which-decision-maker-bible-figure	archetype	big decisions	Ruth Choosing a New Path | Esther 'For Such a Time' | Gideon Asking for a Sign | Mary Saying Yes | Jonah Refusing the Call	Archetype for decision-makers specifically (not waiting); covers the famous sign-asking + risky-yes stories people relate to	82	Gideon's fleece, Esther's 'for such a time', Ruth's leap, Mary's yes are the go-to decision stories in sermons on God's will
188	Which In-Between Place of the Bible Describes You?	which-in-between-bible-place	archetype	feeling stuck	The Red Sea Shore (Trapped) | The Jordan's Edge (About to Cross) | The Upper Room (Waiting for Power) | The Road to Emmaus (Confused) | The Belly of the Whale (Stalled)	A vivid 'liminal place' archetype; the in-between is exactly where stuck/waiting people feel they live	82	Red Sea trapped moment, waiting in the Upper Room, Emmaus confusion, Jonah's whale all map to limbo; strong sermon + devotional presence
189	What's Your Self-Worth Source?	whats-your-self-worth-source	profile	identity	Performance-Based | Approval-Based | Comparison-Based | Grace-Based	Reveals the foundation your worth stands on and whether it can hold; the "grace-based" goal-state makes people want to share and aspire.	82	Identity-in-Christ teaching contrasts striving/performance/approval worth with grace ("you don't have to strive to be accepted by God", Romans 15:7); a foundational Christian self-worth theme.
190	What Does Your Loneliness Need Right Now?	what-your-loneliness-needs	profile	loneliness	Deep Connection | A Community | To Be Truly Known | God's Presence	Reframes loneliness from a flaw into an unmet need with a next step; gentle, practical, and shareable as "this is what I actually needed to hear".	82	Gospel Coalition "The Christian Cure for Loneliness Isn't Just More Friends" distinguishes needs (being known/loved vs more contacts); maps onto emotional vs social vs existential loneliness types.
191	Which Insecurity Is Holding You Back?	which-insecurity-holds-you-back	profile	identity	Fear of Judgment | Fear of Failure | Fear of Not Belonging | Fear of Being Seen	Action-oriented insecurity diagnosis with a freedom-focused result; "what's secretly holding me back" is strong self-improvement + faith crossover.	82	Identity content (Cru, 412teens) ties insecurity/fear to not stepping into your identity; "confidence grows, shame and fear lose their grip" is the promised payoff in identity-in-Christ resources.
